Id,Name,SearchName,Image,Price,Tsukuri,Hiire,Sakamai,Prefecture,Shuzou,Seimai,Status,Flavor,Temperature,Pairing,Alcohol
sentoku-dream,千徳 夢の中まで,夢の中まで With your Dream 純米大吟醸,labels/sentoku-yumenonakamade.jpg,,純米大吟醸,,山田錦,宮崎,千徳酒造,50,1,華やかな香りで爽やかな口当たり。すっきりした甘みで食前にも向く,冷酒,食前/白身魚/前菜,15%
miyanomatsu-omachi,宮の松 生原酒 雄町,宮の松 純米吟醸 雄町 無濾過生 / 生原酒 雄町,labels/miyanomatsu-omachi.jpg,,純米吟醸,生原酒,雄町,佐賀,松尾酒造場,,1,雄町らしい厚みと透明感を両立した落ち着いた旨み,冷酒,焼き鳥/甘辛い料理/煮物,
shikishima-usunigori,敷嶋 うすにごり,敷嶋 うすにごり,labels/shikishima-usunigori.jpg,,うすにごり,生,山田錦/五百万石,愛知,伊東株式会社,60,1,柔らかな飲み口から旨みが広がり、苦みとキレが続く辛口寄り,冷酒,揚げ物/肉料理/夏野菜,18%
gakki-alterna-sorachi-nelson,楽器正宗 オルタナ SORACHI × NELSON,楽器正宗 オルタナ SORACHI × NELSON,labels/gakki-masamune-alterna-sorachi-nelson.png,2332円,普通酒,生詰,,福島,大木代吉本店,麹60/掛66,1,マスカット様の香りにホップの清涼感とレモングラスのニュアンス。甘みと苦みが重なりつつ上品にまとまる,冷酒,生ハム/カルパッチョ/ハーブ料理,12%
matsuo-iizuna-kimoto,松尾 飯綱 生酛,松尾 飯綱 純米吟醸 生酛 Sankei Nishiki 2025,labels/matsuo-iizuna-kimoto.jpg,,純米吟醸 生酛,,山恵錦,長野,高橋助作酒造店,,1,生酛らしい奥行きがありつつ、山恵錦のきれいさで伸びる味わい,冷酒から常温,きのこ料理/焼き魚/だし料理,
sakuyabi-14,咲耶美 14号酵母,咲耶美 純米吟醸 直汲み生原酒 14号酵母,labels/sakuyabi-14.jpg,,純米吟醸,直汲み生原酒,,群馬,貴娘酒造,,1,日本酒初心者にも入りやすい華やかさとフレッシュ感,冷酒,食前/白身魚/フルーツ系前菜,
roman-wadaya,ロ万 wadaya,ロ万 wadaya,labels/roman-waaaya.jpg,,,,,福島,花泉酒造,,1,やわらかな甘みと軽さが出る遊び心のある一本,冷酒,前菜/和え物/軽いチーズ,
yokoyama-white-usunigori,横山五十 うすにごり 純米大吟醸,横山五十 WHITE うすにごり生,labels/yokoyama-white-usunigori.jpg,,純米大吟醸,うすにごり生,山田錦,長崎,重家酒造,50,1,マスカットを思わせるみずみずしい香りとジューシーな甘み,冷酒,白身魚カルパッチョ/和食/洋食,16%
kazenomori-alpha1,風の森 ALPHA 1,風の森 ALPHA 1 次章への扉,labels/kazenomori-alpha1.jpg,,純米,菩提酛/無濾過生原酒,秋津穂,奈良,油長酒造,65,1,果実感あふれる甘みをベースに柑橘の酸が伸びる,よく冷やして,食前/軽い前菜/フレッシュチーズ,14%
hanakaze-rice-hop,花風 RICE & HOP,花風 RICE & HOP / 交酒 花風,labels/hanakaze-rice-hop.jpg,,交酒,,,秋田,稲とアガベ,90,1,ホップ由来のライチやマスカットのような風味が印象的,よく冷やして,カルパッチョ/カプレーゼ/中華,
haneya-hattan,羽根屋 八反錦 純米吟醸 生酒,羽根屋 酒米探求シリーズ 八反錦 純米吟醸 生酒,labels/web/haneya-hattan.jpg,2130円,純米吟醸,生酒,八反錦,富山,富美菊酒造,,1,八反錦の軽快さと生酒のフレッシュ感を楽しめそうな一本,冷酒,白身魚/前菜/和食,
